,Strain,Type,Rating,Effects,Flavor,Description,cleaned_effects,cleaned_flavor,word_count,lem_description
2246,Walker-Kush,hybrid,4.8,"Relaxed,Uplifted,Happy,Focused,Euphoric","Woody,Spicy/Herbal,Flowery","Walker Kush is the Rare Dankness cross of Albert Walker and Rare Dankness #1. These stimulating genetics blend Afghan Skunk, Ghost OG, and Chemdawg into a multifaceted indica-dominant hybrid that uplifts while remaining grounded in soothing body effects. Happy yet laidback, this strain is preferred for ADD/ADHD, depression, and PTSD. ",relaxed uplifted happy focused euphoric,woody spicy herbal flowery,50,walker kush is the rare dankness cross of albert walker and rare dankness 1 these stimulating genetics blend afghan skunk ghost og and chemdawg into a multifaceted indica dominant hybrid that uplift while remaining grounded in soothing body effect happy yet laidback this strain is preferred for add adhd depression and ptsd
2247,Wally-Og,hybrid,4.8,"Relaxed,Happy,Sleepy,Creative,Focused","Flowery,Earthy,Butter","Wally OG, said to be a Ghost OG and Phantom OG cross, is an indica-dominant hybrid with potent full-body effects.",relaxed happy sleepy creative focused,flowery earthy butter,20,wally og said to be a ghost og and phantom og cross is an indica dominant hybrid with potent full body effect
2248,Walrus-Kush,hybrid,4.3,"Happy,Giggly,Uplifted,Creative,Hungry",Earthy,"While normally difficult to ignore, this Walrus is one sneaky gal. Upon first taste, many users may not feel the Walrus’s effects; however, give it a few minutes and this strain will surprise you in ways you never thought possible. Perhaps slightly indica-dominant, Walrus Kush may not be the best medication for getting things done. Fairly well-balanced, it’s a giggly and sociable strain while providing deep, body-relaxing effects at the same time. Great for users who suffer from stress or migraines, Walrus just might be worth a weekend trip to the dispensary.",happy giggly uplifted creative hungry,earthy,92,while normally difficult to ignore this walrus is one sneaky gal upon first taste many user may not feel the walrus s effect however give it a few minute and this strain will surprise you in way you never thought possible perhaps slightly indica dominant walrus kush may not be the best medication for getting thing done fairly well balanced it s a giggly and sociable strain while providing deep body relaxing effect at the same time great for user who suffer from stress or migraine walrus just might be worth a weekend trip to the dispensary
2249,Walter-White,hybrid,4.7,"Happy,Relaxed,Energetic,Uplifted,Euphoric","Earthy,Pungent,Lemon","Walter White by Mephisto Genetics is a hybrid cross created out of fascination. After seeing a glittering cut of The White, Mephisto Genetics set out to build something special off the brilliant trichome production of that particular plant. By breeding The White with a mysterious autoflowering sativa, Mephisto Genetic created Walter White, one of the most potent strains on their roster. The aroma and taste are citrusy and creamy on the exhale. ",happy relaxed energetic uplifted euphoric,earthy pungent lemon,72,walter white by mephisto genetics is a hybrid cross created out of fascination after seeing a glittering cut of the white mephisto genetics set out to build something special off the brilliant trichome production of that particular plant by breeding the white with a mysterious autoflowering sativa mephisto genetic created walter white one of the most potent strain on their roster the aroma and taste are citrusy and creamy on the exhale
2250,Wappa,hybrid,4.3,"Happy,Giggly,Relaxed,Hungry,Uplifted","Sweet,Flowery,Citrus","Wappa is a 60% indica-dominant hybrid bred by Paradise Seeds that delivers happy, uplifting effects alongside an intense fruity flavor.",happy giggly relaxed hungry uplifted,sweet flowery citrus,20,wappa is a 60 indica dominant hybrid bred by paradise seed that delivers happy uplifting effect alongside an intense fruity flavor
2251,Warlock,hybrid,3.9,"Relaxed,Hungry,Happy,Euphoric,Uplifted","Earthy,Sweet,Flowery","Warlock is an indica-dominant strain bred by Magus Genetics through crossing Skunk and Afghani varieties. Its stimulating, focused buzz sharpens the mind against inattention and boredom, and may help those struggling with ADD/ADHD. With a sweet and sour aroma, Warlocks ushers in its mellow stress-relieving and engaged effects. Some Warlock varieties have been bred to contain higher levels of CBD to ward off pain, inflammation, and other ailments. Indoor Warlock plants finish flowering in 55 to 60 days, or at the end of October in outdoor gardens.",relaxed hungry happy euphoric uplifted,earthy sweet flowery,87,warlock is an indica dominant strain bred by magus genetics through crossing skunk and afghani variety it stimulating focused buzz sharpens the mind against inattention and boredom and may help those struggling with add adhd with a sweet and sour aroma warlock usher in it mellow stress relieving and engaged effect some warlock variety have been bred to contain higher level of cbd to ward off pain inflammation and other ailment indoor warlock plant finish flowering in 55 to 60 day or at the end of october in outdoor garden
2252,Washing-Machine,indica,5.0,"Creative,Relaxed,Sleepy,Talkative,Tingly","Earthy,Pungent,Cheese","Washing Machine by Ripper Seeds is a funky cut created by crossing Exodus Cheese with Bubba Kush. It emits a delicate aroma of moist earth and anise, with effects that lay heavily on the body. This strain’s stout physical effects are designed for heavyweight cannabis consumers and may overwhelm unseasoned smokers. It has a snappy 60-65 day flowering time, and the breeder recommends truncating its vegetative cycle due to its incredible desire to stretch. Washing Machine won 3rd Prize for Outdoor Flower at the 2017 THC Cup. ",creative relaxed sleepy talkative tingly,earthy pungent cheese,87,washing machine by ripper seed is a funky cut created by crossing exodus cheese with bubba kush it emits a delicate aroma of moist earth and anise with effect that lay heavily on the body this strain s stout physical effect are designed for heavyweight cannabis consumer and may overwhelm unseasoned smoker it ha a snappy 60 65 day flowering time and the breeder recommends truncating it vegetative cycle due to it incredible desire to stretch washing machine won 3rd prize for outdoor flower at the 2017 thc cup
2253,Watermelon,indica,4.5,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Sweet,Berry,Tropical","Watermelon is an 80% indica strain. Its large, dense buds are valued for their high THC content and relaxing effects, useful as a sleeping aid or appetite stimulant. As the name suggests, this strain has a distinct fruity watermelon flavor profile, reminiscent of grape with hashy undertones. Watermelon is prized by growers for its high yield and potency, requiring 55 to 60 days flowering time.",relaxed happy hungry sleepy euphoric,sweet berry tropical,65,watermelon is an 80 indica strain it large dense bud are valued for their high thc content and relaxing effect useful a a sleeping aid or appetite stimulant a the name suggests this strain ha a distinct fruity watermelon flavor profile reminiscent of grape with hashy undertone watermelon is prized by grower for it high yield and potency requiring 55 to 60 day flowering time
2254,Webster,sativa,4.5,"Relaxed,Uplifted,Happy,Sleepy,Talkative","Citrus,Spicy/Herbal,Sweet","Webster is a stimulating sativa with uplifting elements off the get-go. This strain is immediately motivating, encouraging physical activity from chores to hitting the gym. Flavors of citrus and sweetness are noted on the exhale, and are accompanied by appetite stimulation and an “empty-head” type of stress relief. Webster is ideal for consumers suffering from stress and fatigue, but should be avoided before bed.",relaxed uplifted happy sleepy talkative,citrus spicy herbal sweet,64,webster is a stimulating sativa with uplifting element off the get go this strain is immediately motivating encouraging physical activity from chore to hitting the gym flavor of citrus and sweetness are noted on the exhale and are accompanied by appetite stimulation and an empty head type of stress relief webster is ideal for consumer suffering from stress and fatigue but should be avoided before bed
2255,Wedding-Cake,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Vanilla,Earthy","Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted THC content upwards of 25% or greater.  ",relaxed happy euphoric uplifted focused,sweet vanilla earthy,62,wedding cake also known a pink cooky is the familial genetic cross of girl scout cooky and cherry pie this delectable treat is rich with tangy sweet earth and pepper taking note and dimension from it og and durban poison parentage enjoy this double dose of dense dankness with care a certain farm have noted thc content upwards of 25 or greater
2256,Wellness-Og,hybrid,4.9,"Relaxed,Happy,Euphoric,Uplifted,Creative","Pungent,Diesel,Pine","Wellness OG is a sativa-dominant phenotype of OG Kush that took 1st place for hybrids at the 2015 SoCal Medical Cup. An extremely sticky strain with a thick coat of trichomes, Wellness OG carries a pungent piney aroma that tingles the senses. An immediate rush of cerebral activity kicks Wellness OG into gear, eventually turning into focus as the effects settle in. The result is a calming, relaxed body buzz that helps stress and pain drift away while stimulating the appetite.",relaxed happy euphoric uplifted creative,pungent diesel pine,81,wellness og is a sativa dominant phenotype of og kush that took 1st place for hybrid at the 2015 socal medical cup an extremely sticky strain with a thick coat of trichomes wellness og carry a pungent piney aroma that tingle the sens an immediate rush of cerebral activity kick wellness og into gear eventually turning into focus a the effect settle in the result is a calming relaxed body buzz that help stress and pain drift away while stimulating the appetite
2257,Wembley,indica,4.7,"Tingly,Creative,Energetic,Giggly,Happy","Sweet,Strawberry,Grape","Wembley by Pyramid Seeds is an indica-dominant strain created by combining AK-47 and Bubble Gum. This fruity strain has a stable, solid morphology that is typically low to the ground and flowers in about 60 days. Its long-lasting relaxation pairs nicely with AK-47’s heady sizzle, giving Wembly an immersive physical sensation that sticks to the bones. Enjoy Wembley to improve mood while tempering minor physical pain.",tingly creative energetic giggly happy,sweet strawberry grape,66,wembley by pyramid seed is an indica dominant strain created by combining ak 47 and bubble gum this fruity strain ha a stable solid morphology that is typically low to the ground and flower in about 60 day it long lasting relaxation pair nicely with ak 47 s heady sizzle giving wembly an immersive physical sensation that stick to the bone enjoy wembley to improve mood while tempering minor physical pain
2258,West-Coast-Dawg,indica,4.8,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Woody,Nutty","West Coast Dawg is a thoroughbred West Coast local that harnesses the potency of Chemdawg while remaining indica-dominant in effect. The flavor and powerful onset howl Chemdawg, exhibiting flavors of fuel, chemicals, pine, and a floral undertone that speaks to its latent Kush genetics. The addition of USA Humboldt provides an enjoyable relaxation on the body that is amplified by Chemdawg’s inherent potency, leading to powerful sedation with continued use. Enjoy this strain near the end of the day, as it will gladly lock you to your couch while curbing stress and pain, stimulating appetite, and encouraging rest. ",relaxed happy euphoric uplifted creative,sweet woody nutty,98,west coast dawg is a thoroughbred west coast local that harness the potency of chemdawg while remaining indica dominant in effect the flavor and powerful onset howl chemdawg exhibiting flavor of fuel chemical pine and a floral undertone that speaks to it latent kush genetics the addition of usa humboldt provides an enjoyable relaxation on the body that is amplified by chemdawg s inherent potency leading to powerful sedation with continued use enjoy this strain near the end of the day a it will gladly lock you to your couch while curbing stress and pain stimulating appetite and encouraging rest
2259,West-Og,indica,3.6,"Relaxed,Happy,Creative,Hungry,Sleepy","Woody,Lemon,Spicy/Herbal","A heavy-handed indica, West OG descends from the famous Chemdawg and a backcrossed Humboldt. West OG’s fluffy, purple-hued buds release a musky diesel aroma reminiscent of the long line of OG strains. This indica is typically chosen by patients for treatment of pain and by those in need of some serious relaxation. ",relaxed happy creative hungry sleepy,woody lemon spicy herbal,52,a heavy handed indica west og descends from the famous chemdawg and a backcrossed humboldt west og s fluffy purple hued bud release a musky diesel aroma reminiscent of the long line of og strain this indica is typically chosen by patient for treatment of pain and by those in need of some serious relaxation
2260,Wet-Dream,sativa,4.4,"Uplifted,Energetic,Happy,Euphoric,Creative","Earthy,Spicy/Herbal,Woody","Wet Dream, native to San Diego, California, is a sativa-dominant cross between Blue Dream and OB Haze (Ocean Beach Haze). While its ever-so appealing name might lead you to believe this strain is best for late night indulgence, the upbeat jolt of energy Wet Dream provides is favored by many for daytime use. Its uplifting cerebral effects are ushered in by a spicy lemongrass aroma and a woody pine flavor. While Haze hybrids tend to induce racing euphoria that can be a bit jarring for some, the Blue Dream genetics bring a mellow, relaxing quality to the experience to help curb stress and anxiety.",uplifted energetic happy euphoric creative,earthy spicy herbal woody,104,wet dream native to san diego california is a sativa dominant cross between blue dream and ob haze ocean beach haze while it ever so appealing name might lead you to believe this strain is best for late night indulgence the upbeat jolt of energy wet dream provides is favored by many for daytime use it uplifting cerebral effect are ushered in by a spicy lemongrass aroma and a woody pine flavor while haze hybrid tend to induce racing euphoria that can be a bit jarring for some the blue dream genetics bring a mellow relaxing quality to the experience to help curb stress and anxiety
