,Strain,Type,Rating,Effects,Flavor,Description,cleaned_effects,cleaned_flavor,word_count,lem_description
0,100-Og,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",creative energetic tingly euphoric relaxed,earthy sweet citrus,69,100 og is a 50 50 hybrid strain that pack a strong punch the name supposedly refers to both it strength and high price when it first started showing up in hollywood a a plant 100 og tends to produce large dark green bud with few stem user report a strong body effect of an indica for pain relief with the more alert cerebral feeling thanks to it sativa side
1,98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.  ",relaxed aroused creative happy energetic,flowery violet diesel,97,the 98 aloha white widow is an especially potent cut of white widow that ha grown in renown alongside hawaiian legend like maui wowie and kona gold this white widow phenotype reek of diesel and skunk and ha a rich earthy taste with intermittent note of hash it bud are coated in trichomes giving it dark foliage a lustrous glint to go along with it room filling odor this one hitter quitter uplift the mind with mind bending euphoria that materializes in the body a airy relaxation 98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank
2,1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",uplifted happy relaxed energetic creative,spicy herbal sage woody,72,1024 is a sativa dominant hybrid bred in spain by medical seed co the breeder claim to guard the secret genetics due to security reason but regardless of it genetic heritage 1024 is a thc powerhouse with a sweet and spicy bouquet subtle fruit flavor mix with an herbal musk to produce uplifting sativa effect one specific phenotype is noted for having a pungent odor that fill a room similar to burning incense
3,13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",tingly creative hungry relaxed uplifted,apricot citrus grapefruit,70,13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech the two potent strain mix to create a balance between indica and sativa effect 13 dawgs ha a sweet earthy musk that brings a blend of woody citrus flavor the effect of 13 dawgs induce a happy relaxed body buzz with a creative and focused mind that counter depression and stimulates the appetite
4,24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",happy relaxed euphoric uplifted talkative,citrus earthy orange,93,also known a kosher tangie 24k gold is a 60 indica dominant hybrid that combine the legendary la strain kosher kush with champion sativa tangie to create something quite unique growing tall in it vegetative cycle and very stretchy in flower this one will need an experienced hand when grown indoors most phenotype will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush and will offer a strong citrus flavor when smoked or vaped thc level range from 18 to 24 definitely not for novice user
5,3-Bears-Og,indica,4.4,"Relaxed,Happy,Sleepy,Creative,Euphoric
","Sweet, Pungent, Earthy","3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",relaxed happy sleepy creative euphoric,sweet pungent earthy,84,3 bear og by mephisto genetics is an autoflowering cross of bear og karma s og cut and triangle kush this indica dominant strain generates pungent flavorful bud in a smaller more manageable plant size mephisto genetics describes 3 bear og a a cornerstone to their artisanal collection blending the best attribute of the fabled og kush with a compact controllable growth structure the 3 bear og ha an approximate 70 day growth cycle and offer effect that stimulate the appetite while leading the body toward sleep
6,3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",relaxed euphoric happy uplifted hungry,earthy sweet pungent,65,the 3 king marijuana strain a holy trinity of headband sour diesel and og kush is a sativa dominant hybrid and genetic masterpiece sour tanginess reek from the sage green bud and it frosty coat give you a fair warning of the 3 king potency medical patient will appreciate the versatility of this strain s medicinal effect a it relief pain stress and nausea without heavy sedation
7,303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",relaxed happy euphoric uplifted giggly,citrus pungent earthy,72,the indica dominant 303 og is a colorado strain bred by crossing pre 98 bubba kush and chemdawg it parent strain pas on a complex flavor profile of coffee and spice with diesel undertone it buzz can be described a social and creative a dreamy experience perfect for letting off steam at the end of the work day the happy euphoria induced by 303 og may help patient treating depression anxiety and stress disorder
8,3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",uplifted focused happy talkative relaxed,earthy woody flowery,51,3d cbd from snoop dogg s branded line of cannabis strain wa crafted with patient in mind with a thc cbd ratio of about 5 8 this earthy flavored sativa is preferred for treating pain inflammation and muscle tension consumer susceptible to thc induced anxiety may also appreciate the sobering relaxing balance cbd ha to offer
9,3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",relaxed tingly happy euphoric uplifted,earthy grape sweet,86,also known a optimus prime the indica dominant 3x crazy is a three way cross between og kush bubba kush and granddaddy purple it aroma is comprised of sweet grape spicy pepper and earthy note passed on by it bubba kush parent this indica will leave you sedated with soothing full body effect but not before a brief phase of clear headed cerebral psychoactivity the relaxing effect induced by 3x crazy can be used to treat a variety of severe symptom some of which include pain spasm tension and insomnia
10,3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel","3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain. ",energetic happy talkative uplifted,pine diesel,80,3rd coast panama chunk by bedford grow is a cross between east coast panama chunk panama f7 x deep chunk and sour diesel this vigorous strain creates dense resinous bud that reek of pine and fuel panama chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief making it ideal after a long day the strain s varied cerebral and physical effect help consumer abate anxiety and insomnia while also tending to migraine and muscular pain
11,501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",relaxed euphoric sleepy happy talkative,earthy pine skunk,69,501st og bred by rare dankness is an indica dominant hybrid that cross skywalker og with rare dankness 1 the colorful flower are tinged with a wide spectrum of green blue red and purple hue that give off a deep piney kush aroma that mix with the sweetness of grape flavor the potent indica effect make 501st og a great nighttime strain to help with pain relief and trouble sleeping
12,5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine","Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.",relaxed focused euphoric uplifted aroused,earthy woody pine,44,elemental seed crossed blackberry with all spark og to create this impressive strain 5th element produce huge yield of sticky bud that feature a powerful earthy lemony smell and flavor the effect are quite strong with a good mix of cerebral and body high
13,707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent","This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",euphoric happy uplifted talkative creative,earthy woody pungent,89,this strain emerged from the humboldt county california and that area s telephone area code is the source of it numerical moniker it s a cross between sour diesel og kush and master kush 707 headband plant flower in 9 to 11 week and usually have large yield an indica dominant hybrid this strain is known to have high thc level and can be strong but it s balanced enough to leave most user feeling heady and creative rather than sleepy because of this it s often used to treat tension and anxiety
14,8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine","Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",relaxed uplifted happy creative euphoric,citrus earthy pine,90,bred by barney s farm 8 ball kush is a pure indica variety descended from an afghani landrace strain like many other cannabis variety that come from the hindu kush region 8 ball kush produce large amount of crystal resin that blanket the bud it aroma is earthy and spicy and you may find it effect to be more cerebrally stimulating than the average indica a hardy and resilient plant 8 ball kush ha a 50 to 60 day flowering time indoors while outdoor garden finish at the end of september
15,818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery","Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG. ",relaxed happy euphoric giggly sleepy,earthy diesel flowery,68,named after the telephone area code of the san fernando valley in los angeles 818 og is an og kush strain popular with patient for treating pain loss of appetite and insomnia not to be confused with the other og cut named for the locale the 818 og ha a very fruity flavor that is quite different from the sour earthy fuel taste found in the sfv og
16,831-Og,indica,5.0,"Hungry,Relaxed,Creative,Euphoric,Aroused","Cheese,Ammonia,Diesel","831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.  ",hungry relaxed creative euphoric aroused,cheese ammonia diesel,87,831 og aka santa cruz og is an indica dominant strain developed by 831 organiks created by crossing the rare and potent inferno f1 cut with the west coast mainstay sfv og this combination of heavyweight indicas imbues consumer with deep relaxation that border on sleepy especially with continued consumption the aroma is pure fuel while the flavor open up with note of pine earth and lemon enjoy this strain near the end of the day but beware this strain ha been known to reach toward 30 thc
17,9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry","9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.",relaxed sleepy euphoric happy hungry,earthy sweet berry,63,9 pound hammer is an 80 indica strain that cross gooberry hell og and jack the ripper these dense bud are coated in resin offering sweet grape and lime flavor true to it indica dominance effect are heavy and long lasting useful for pain and stress relief best grown indoors 9 pound hammer will deliver a heavy yield flowering between 50 and 60 day
18,91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry","91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA’s famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.",relaxed euphoric happy hungry uplifted,earthy pungent berry,70,91 krypt by dna genetics is a potent strain by many name bred from the chemdawg 91 stock crossed with dna s famous captain krypt og this strain wa created for high potency cannabis consumer it emits a deep dank terpene profile that fill the room with skunk and swampy earth with a thc content pushing over 20 on average enjoy 91 krypt to stimulate appetite while harnessing full body relaxation
19,A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet","A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",relaxed focused happy sleepy uplifted,citrus pungent sweet,21,a 10 ha an earthy hashy taste that provides a very heavy body stone frequently used to treat insomnia and chronic pain
20,A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",relaxed happy euphoric uplifted sleepy,diesel pepper earthy,61,coming from the ever popular sour diesel og kush and chemdawg family tree a dub ha a solid reputation for it potency this hybrid produce a well balanced effect creating a euphoric happy buzz that is a great influence when expressing your creativity sour double a sour diesel sour bubble cross and alien dawg alien technology crossed with chemdawg combine to birth this magnificent flower
21,A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Earthy,Woody,Citrus",A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,creative euphoric relaxed happy hungry,earthy woody citrus,34,a train is a hybrid between mazar i sharif and the clone only arcata e 32 trainwreck this hybrid give you the classic stoned feeling be ready for smile and munchies when you jump on the a train
22,Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",relaxed happy uplifted focused euphoric,earthy pine woody,58,acdc is a sativa dominant phenotype of the high cbd cannabis strain cannatonic one remarkable characteristic of acdc is it thc cbd ratio of 1 20 meaning this strain induces no psychoactive effect test have put acdc s cbd content a high a 19 which help many patient treat pain anxiety epilepsy multiple sclerosis and the negative effect of chemotherapy all without intoxication
23,Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",happy relaxed uplifted euphoric energetic,earthy pungent woody,144,don t let it intense name fool you ak 47 will leave you relaxed and mellow this sativa dominant hybrid delivers a steady and long lasting cerebral buzz that keep you mentally alert and engaged in creative or social activity ak 47 mix colombian mexican thai and afghani variety bringing together a complex blend of flavor and effect while ak 47 s scent is sour and earthy it sweet floral note can only be fully realized in the taste created in 1992 by serious seed ak 47 ha won numerous cannabis cup award around the world for it soaring thc content for those hoping to fill their garden with this resinous skunky hybrid grower recommend an indoor environment with either soil or hydroponic setup ak 47 is easy to grow and ha a short indoor flowering time of just 53 to 63 day while outdoor plant typically finish toward the end of october
24,Ak-48,hybrid,4.0,"Happy,Energetic,Uplifted,Creative,Relaxed","Earthy,Pungent,Citrus","Although it is a hybrid, the AK-48 high leans more towards typical sativa effects.  AK-48's parents are Ice and Jock Horror.  Its Ice mother has ancestors of Afghani, Skunk, Northern Lights and Shiva stock.",happy energetic uplifted creative relaxed,earthy pungent citrus,34,although it is a hybrid the ak 48 high lean more towards typical sativa effect ak 48 s parent are ice and jock horror it ice mother ha ancestor of afghani skunk northern light and shiva stock
25,Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blue,Cheese,Chemical","Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.",uplifted euphoric giggly energetic sleepy,menthol blue cheese chemical,55,aberdeen is a variety of agent orange grown by canadian lp aphria like agent orange aberdeen combine the genetics of orange velvet and jack the ripper to create a mix of sweet orange and citrus flavor the happy uplifting effect of aberdeen mirror agent orange and are regularly prescribed for anxiety migraine and gastrointestinal disorder
26,Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Earthy,Pine,Diesel","A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.",relaxed euphoric sleepy happy giggly,earthy pine diesel,104,a popular californian cut of og kush abusive og is an indica strain that inherited the nickname of it original grower despite it violent name abusive og will ease you into in a peaceful state of mind that fade over time to a full body relaxation true to it og genetics abusive og ha an earthy spice aroma with subtle lemon undertone patient who don t mind mental haziness might choose this strain to remedy pain anxiety appetite loss and sleeplessness at the end of their day abusive og may not produce the highest yield in the garden but make up for it with resin caked bud
27,Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Earthy,Sweet,Pungent","One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors. ",happy uplifted euphoric energetic relaxed,earthy sweet pungent,87,one of the most well known strain acapulco gold ha been likened to dinner at a five star restaurant the strain come from the area in and around acapulco mexico it orange hair resemble a gold nugget with gold green and brown color of resin collecting on the bud an aroma of burnt toffee lingers when the bud is broken up acapulco gold ha a reputation for being one of the best cannabis strain ever created and is becoming more difficult to find due to more grower moving indoors
28,Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Diesel,Spicy/Herbal","Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",relaxed sleepy euphoric happy uplifted,earthy diesel spicy herbal,52,ace killer og is an indica strain that boast a high thc content and a pungent diesel aroma bred from white fire og king s kush kosher kush and a mystery strain ace killer og inherits a heavy blanket of snow like resin and hard hitting effect that can stupefy even the most seasoned veteran
29,Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Earthy,Sweet,Woody","Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.",relaxed euphoric happy sleepy hungry,earthy sweet woody,111,ace of spade is a creation from tga subcool seed that take advantage of the popular sweet and sour combination that never go out of style a crossbreed of black cherry soda and jack the ripper this strain ha an earthy berry and citrus smell that carry over into the taste with distinctly lemony flavor ace of spade plant grow fast and need a lot of space because they will get both bushy and tall flowering occurs at 8 week and they are generally large and heavy these bud are pretty to look at with a range of color that can include purple blue and pink all coated in orange hair
30,Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon","Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties ",creative euphoric talkative energetic happy,earthy mango lemon,35,aceh also called atjeh refers to the sativa variety of cannabis that come from the aceh region of indonesia these sativas typically grow tall and thin and are considered the finest among indonesia s landrace variety
31,Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Lemon,Diesel,Earthy","Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks. ",creative happy euphoric energetic uplifted,lemon diesel earthy,58,acid is paradise seed take on the original new york sour diesel expect powerful body effect including an uplifted nearly psychedelic mental energy this plant exhibit a metallic flavor that is representative of it namesake with traditional note of gas on the nose acid thrives in both indoor and outdoor environment finishing in about 9 to 10 week
32,Acid-Dough,sativa,5.0,"Talkative,Giggly,Happy,Hungry,Relaxed","Earthy,Woody,Tree Fruit","Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup. ",talkative giggly happy hungry relaxed,earthy woody tree fruit,91,acid dough by ripper seed is a sativa dominant strain with energetic effect created by crossing lilly queen mother x congo x og badazz this strain offer sweet candy like aroma with bright pineapple flavor and a generous yield acid dough ha an approximate 65 70 day flowering time and colorful foliage this strain responds well to cold temperature during the finishing process creating bud with deep violet hue and extra resin production acid dough won 2nd place best sativa at the 2017 spannabis champion cup and 2nd place at the 2016 expogrow cup
33,Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Sweet,Flowery,Earthy","Afcrack is a cannabis “speedball” of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.    ",tingly euphoric happy relaxed uplifted,sweet flowery earthy,67,afcrack is a cannabis speedball of sort this strain incorporates afgoo and green crack polar opposite on the spectrum of indica and sativa variety to create a pseudo sedative experience that rest in the muscle while invigorating the heart and mind with spicy earth note that indicate it afghani heritage this hybrid s effect are situation specific and will offer energy or sedation depending on the consumer s level of activity
34,Afghan-Big-Bud,indica,4.0,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Lemon,Peach","Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours. ",euphoric happy relaxed sleepy talkative,pungent lemon peach,58,spawn from afghani and big bud afghan big bud or big bud afghani is characterized a a large plant with broad leaf and thick stem it ha a dense appearance similar to big bud and maintains the taste of afghani resulting in the best of both world the effect come relatively quick but usually dissipate under two hour
35,Afghan-Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla","This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects.",focused uplifted happy euphoric talkative,sweet vanilla,64,this sweet smelling and resinous sativa breed from dr krippling seed is sure to keep you off the couch afghan cow is bred from ash kaya 47 an ak 47 phenotype and the beloved kali mist the cerebral effect of this sativa are great for clear headed daytime use having a high yield both indoors and out this is an impressive plant with even more impressive effect
